Robot_ID,Task_Type,Component_ID,Sensor_Type,Sensor_Data,Processing_Time (s),Accuracy (%),Environmental_Status,Energy_Consumption (kWh),Human_Intervention_Needed,Obstacle_Detected,Defect_Detected
RBT_001,Inspection,CMP_460,LIDAR,1 (obstacle detected),67.0,90.4,Stable,2.2,No,Yes,Yes
RBT_002,Assembly,CMP_252,Thermal,85.3 (°C),71.2,98.1,Stable,2.7,Yes,No,No
RBT_003,Inspection,CMP_248,Thermal,92% (visual fit),49.2,95.3,Unstable,2.4,No,No,No
RBT_004,Welding,CMP_433,Camera,98% (defect-free),74.5,90.2,Stable,2.4,Yes,No,Yes
RBT_005,Assembly,CMP_992,Camera,92% (visual fit),64.5,97.2,Unstable,1.8,No,No,No
RBT_006,Painting,CMP_309,Thermal,1 (obstacle detected),51.6,93.4,Unstable,1.5,No,No,No
RBT_007,Assembly,CMP_637,Thermal,1 (obstacle detected),50.9,95.5,Stable,1.8,Yes,No,Yes
RBT_008,Inspection,CMP_571,Camera,85.3 (°C),61.7,90.2,Unstable,2.3,Yes,Yes,No
RBT_009,Assembly,CMP_630,Camera,0 (clear path),49.4,92.9,Stable,1.7,Yes,Yes,No
RBT_010,Painting,CMP_617,LIDAR,0 (no obstacle),65.1,94.1,Stable,2.9,No,No,No
RBT_011,Assembly,CMP_567,Camera,0 (no obstacle),48.5,96.1,Unstable,2.6,Yes,Yes,Yes
RBT_012,Painting,CMP_268,LIDAR,75.8 (°C),44.8,99.6,Stable,2.2,No,Yes,No
RBT_013,Inspection,CMP_631,Thermal,98% (defect-free),53.2,93.8,Unstable,2.0,No,No,No
RBT_014,Inspection,CMP_115,Camera,82.4 (°C),41.7,92.0,Stable,2.2,Yes,No,No
RBT_015,Inspection,CMP_932,LIDAR + Camera,92% (visual fit),50.0,91.3,Stable,2.8,Yes,No,Yes
RBT_016,Assembly,CMP_424,LIDAR + Camera,92% (visual fit),57.0,98.1,Unstable,1.6,Yes,Yes,No
RBT_017,Inspection,CMP_201,Camera,0 (no obstacle),78.1,98.9,Stable,2.9,Yes,Yes,Yes
RBT_018,Painting,CMP_262,LIDAR + Camera,92% (visual fit),49.3,92.0,Unstable,1.8,Yes,No,Yes
RBT_019,Inspection,CMP_742,LIDAR + Camera,1 (obstacle detected),78.9,98.5,Unstable,2.4,Yes,No,Yes
RBT_020,Painting,CMP_370,Thermal,0 (no obstacle),75.6,98.7,Stable,1.1,Yes,Yes,No
RBT_021,Painting,CMP_926,LIDAR + Camera,92% (visual fit),79.3,97.7,Unstable,2.6,No,No,Yes
RBT_022,Painting,CMP_904,Camera,98% (defect-free),59.8,90.1,Stable,2.6,No,Yes,No
RBT_023,Assembly,CMP_308,Thermal,92% (visual fit),78.3,99.3,Stable,1.3,No,No,Yes
RBT_024,Welding,CMP_105,Camera,0 (no obstacle),55.1,92.0,Stable,2.2,Yes,No,Yes
RBT_025,Inspection,CMP_968,LIDAR,1 (obstacle detected),72.6,99.3,Unstable,2.5,No,Yes,No
RBT_026,Painting,CMP_443,LIDAR,98% (defect-free),69.4,95.2,Stable,2.0,Yes,No,No
RBT_027,Assembly,CMP_864,LIDAR + Camera,75.8 (°C),44.4,95.6,Stable,2.2,Yes,Yes,Yes
RBT_028,Welding,CMP_123,Thermal,85.3 (°C),57.9,95.2,Stable,3.0,No,Yes,No
RBT_029,Assembly,CMP_972,Camera,82.4 (°C),61.3,92.2,Stable,2.3,Yes,No,No
RBT_030,Painting,CMP_853,Camera,0 (no obstacle),44.8,93.8,Stable,2.9,Yes,No,Yes
RBT_031,Welding,CMP_933,Camera,0 (no obstacle),50.5,98.5,Stable,2.7,No,No,Yes
RBT_032,Assembly,CMP_948,Camera,98% (defect-free),49.5,92.5,Unstable,2.7,No,No,No
RBT_033,Painting,CMP_788,LIDAR,1 (obstacle detected),73.4,99.5,Stable,1.2,No,Yes,Yes
RBT_034,Welding,CMP_995,LIDAR,0 (no obstacle),52.9,97.4,Unstable,1.0,Yes,No,No
RBT_035,Welding,CMP_789,Thermal,82.4 (°C),66.2,98.3,Unstable,2.2,No,Yes,Yes
RBT_036,Welding,CMP_966,Camera,85.3 (°C),45.4,96.2,Stable,1.3,Yes,Yes,No
RBT_037,Welding,CMP_298,Thermal,0 (clear path),51.7,95.5,Stable,1.6,No,No,Yes
RBT_038,Assembly,CMP_425,Thermal,1 (obstacle detected),79.7,94.9,Stable,2.4,Yes,Yes,Yes
RBT_039,Painting,CMP_514,Camera,82.4 (°C),60.2,98.7,Stable,2.6,No,No,Yes
RBT_040,Inspection,CMP_224,Thermal,98% (defect-free),55.7,98.0,Stable,2.3,Yes,Yes,No
RBT_041,Welding,CMP_856,LIDAR + Camera,75.8 (°C),59.4,93.2,Stable,1.3,Yes,Yes,No
RBT_042,Welding,CMP_461,LIDAR + Camera,98% (defect-free),40.9,94.3,Stable,1.0,No,Yes,Yes
RBT_043,Inspection,CMP_373,Camera,0 (no obstacle),53.2,90.8,Unstable,1.2,No,Yes,No
RBT_044,Painting,CMP_658,LIDAR,0 (no obstacle),73.5,97.8,Stable,1.3,No,No,Yes
RBT_045,Welding,CMP_818,LIDAR,1 (obstacle detected),55.2,90.9,Unstable,1.3,No,Yes,No
RBT_046,Welding,CMP_857,LIDAR + Camera,92% (visual fit),69.0,94.2,Stable,1.5,Yes,No,Yes
RBT_047,Assembly,CMP_117,Camera,1 (obstacle detected),61.1,93.7,Unstable,2.9,No,Yes,Yes
RBT_048,Welding,CMP_564,Thermal,85.3 (°C),69.5,90.8,Unstable,1.9,Yes,Yes,Yes
RBT_049,Assembly,CMP_717,LIDAR,0 (clear path),70.3,92.7,Unstable,2.6,No,Yes,Yes
RBT_050,Inspection,CMP_108,Thermal,75.8 (°C),62.4,97.5,Unstable,1.1,Yes,Yes,Yes
RBT_051,Painting,CMP_995,LIDAR + Camera,98% (defect-free),50.3,94.3,Stable,1.8,No,Yes,Yes
RBT_052,Inspection,CMP_476,Camera,98% (defect-free),46.0,90.2,Stable,2.8,No,No,Yes
RBT_053,Painting,CMP_255,LIDAR,1 (obstacle detected),74.1,91.1,Stable,1.3,Yes,No,No
RBT_054,Inspection,CMP_367,Thermal,85.3 (°C),55.4,92.4,Stable,1.7,No,Yes,No
RBT_055,Painting,CMP_424,Camera,82.4 (°C),77.9,99.0,Stable,1.1,No,Yes,Yes
RBT_056,Inspection,CMP_707,Thermal,92% (visual fit),75.9,90.7,Stable,2.9,Yes,No,Yes
RBT_057,Assembly,CMP_436,LIDAR + Camera,75.8 (°C),40.5,99.5,Unstable,2.3,Yes,Yes,Yes
RBT_058,Inspection,CMP_803,LIDAR + Camera,0 (no obstacle),56.3,96.9,Unstable,1.3,No,Yes,Yes
RBT_059,Welding,CMP_137,LIDAR,92% (visual fit),48.8,96.1,Unstable,2.2,Yes,No,Yes
RBT_060,Welding,CMP_930,Camera,85.3 (°C),74.7,98.6,Stable,2.5,No,Yes,Yes
RBT_061,Inspection,CMP_564,LIDAR,82.4 (°C),43.7,98.2,Stable,1.8,Yes,Yes,Yes
RBT_062,Painting,CMP_442,Camera,92% (visual fit),66.3,99.4,Unstable,2.8,Yes,Yes,Yes
RBT_063,Assembly,CMP_834,Thermal,98% (defect-free),59.4,94.6,Stable,1.8,No,No,No
RBT_064,Assembly,CMP_443,LIDAR,1 (obstacle detected),47.5,97.6,Unstable,2.5,No,Yes,Yes
RBT_065,Welding,CMP_867,Camera,0 (clear path),62.4,95.0,Stable,2.6,No,Yes,Yes
RBT_066,Assembly,CMP_224,LIDAR + Camera,75.8 (°C),64.2,91.8,Unstable,1.3,No,No,Yes
RBT_067,Inspection,CMP_509,Thermal,0 (no obstacle),66.1,95.7,Unstable,2.1,No,No,No
RBT_068,Painting,CMP_395,Thermal,1 (obstacle detected),72.0,97.0,Unstable,3.0,No,No,No
RBT_069,Assembly,CMP_404,Thermal,98% (defect-free),50.4,96.6,Stable,2.4,No,No,Yes
RBT_070,Welding,CMP_653,LIDAR + Camera,0 (no obstacle),47.4,91.5,Unstable,2.2,Yes,No,Yes
RBT_071,Painting,CMP_624,LIDAR,75.8 (°C),78.8,91.2,Stable,2.8,No,No,No
RBT_072,Assembly,CMP_159,Thermal,98% (defect-free),68.3,96.1,Unstable,1.5,Yes,Yes,No
RBT_073,Assembly,CMP_876,Thermal,85.3 (°C),41.1,90.1,Unstable,2.9,Yes,No,No
RBT_074,Welding,CMP_344,LIDAR + Camera,85.3 (°C),66.0,91.6,Unstable,2.6,No,Yes,Yes
RBT_075,Welding,CMP_582,LIDAR + Camera,85.3 (°C),43.8,96.4,Stable,1.4,No,No,Yes
RBT_076,Assembly,CMP_280,LIDAR,98% (defect-free),78.3,95.3,Unstable,1.1,No,No,Yes
RBT_077,Welding,CMP_173,LIDAR,75.8 (°C),47.9,90.5,Stable,1.3,No,Yes,Yes
RBT_078,Assembly,CMP_714,Camera,75.8 (°C),46.1,98.1,Unstable,2.4,Yes,No,No
RBT_079,Assembly,CMP_756,LIDAR + Camera,0 (clear path),71.7,96.7,Stable,2.8,No,No,Yes
RBT_080,Inspection,CMP_481,Thermal,82.4 (°C),65.1,97.4,Unstable,1.5,Yes,No,Yes
RBT_081,Welding,CMP_166,Thermal,1 (obstacle detected),51.1,90.8,Unstable,2.9,No,Yes,No
RBT_082,Assembly,CMP_479,LIDAR + Camera,0 (clear path),56.0,92.5,Unstable,1.1,Yes,No,Yes
RBT_083,Welding,CMP_487,Camera,98% (defect-free),46.1,93.4,Unstable,2.7,No,No,No
RBT_084,Welding,CMP_811,Thermal,92% (visual fit),48.5,92.9,Unstable,2.4,Yes,No,No
RBT_085,Assembly,CMP_585,LIDAR + Camera,92% (visual fit),54.9,93.2,Unstable,1.5,No,Yes,Yes
RBT_086,Painting,CMP_569,Thermal,1 (obstacle detected),45.6,92.1,Unstable,1.8,Yes,Yes,No
RBT_087,Assembly,CMP_623,LIDAR,85.3 (°C),54.7,95.7,Unstable,2.5,Yes,Yes,No
RBT_088,Painting,CMP_662,Thermal,0 (no obstacle),77.3,95.4,Stable,2.6,No,Yes,Yes
RBT_089,Inspection,CMP_464,Camera,75.8 (°C),80.0,93.8,Stable,2.2,No,Yes,Yes
RBT_090,Inspection,CMP_433,LIDAR + Camera,92% (visual fit),40.1,97.8,Unstable,1.8,Yes,Yes,No
RBT_091,Inspection,CMP_864,LIDAR,75.8 (°C),55.6,99.7,Stable,2.5,No,Yes,Yes
RBT_092,Welding,CMP_189,LIDAR + Camera,92% (visual fit),61.0,98.9,Unstable,2.5,No,Yes,No
RBT_093,Painting,CMP_800,LIDAR,92% (visual fit),70.9,91.3,Unstable,3.0,No,Yes,No
RBT_094,Assembly,CMP_605,LIDAR + Camera,0 (clear path),75.8,91.2,Stable,1.3,Yes,Yes,No
RBT_095,Painting,CMP_462,LIDAR,1 (obstacle detected),65.3,92.1,Unstable,1.6,Yes,Yes,Yes
RBT_096,Painting,CMP_729,LIDAR,75.8 (°C),76.9,90.7,Unstable,1.8,No,No,No
RBT_097,Welding,CMP_881,LIDAR,0 (clear path),63.7,93.4,Stable,1.7,Yes,No,Yes
RBT_098,Assembly,CMP_596,LIDAR,75.8 (°C),78.4,93.6,Unstable,2.6,No,Yes,No
RBT_099,Inspection,CMP_268,Thermal,98% (defect-free),75.5,90.9,Stable,1.1,No,No,No
RBT_100,Welding,CMP_537,LIDAR + Camera,1 (obstacle detected),78.8,96.3,Stable,2.3,Yes,Yes,No
RBT_101,Painting,CMP_540,Thermal,0 (clear path),78.7,95.4,Stable,2.5,Yes,No,No
RBT_102,Welding,CMP_550,LIDAR,98% (defect-free),61.3,96.4,Unstable,1.1,No,No,No
RBT_103,Assembly,CMP_269,Thermal,85.3 (°C),77.1,96.9,Stable,1.2,Yes,Yes,No
RBT_104,Inspection,CMP_199,LIDAR + Camera,82.4 (°C),44.7,97.5,Unstable,1.8,No,Yes,Yes
RBT_105,Welding,CMP_649,LIDAR + Camera,1 (obstacle detected),42.1,98.8,Unstable,1.1,Yes,No,No
RBT_106,Welding,CMP_554,LIDAR + Camera,1 (obstacle detected),52.4,92.4,Stable,1.2,No,No,No
RBT_107,Inspection,CMP_856,LIDAR,0 (clear path),72.2,91.8,Stable,2.9,Yes,No,Yes
RBT_108,Welding,CMP_681,LIDAR,85.3 (°C),47.1,93.5,Unstable,2.7,No,No,Yes
RBT_109,Painting,CMP_394,LIDAR + Camera,98% (defect-free),42.3,96.7,Unstable,1.4,No,Yes,Yes
RBT_110,Assembly,CMP_577,Thermal,1 (obstacle detected),65.7,91.0,Stable,1.8,Yes,No,Yes
RBT_111,Inspection,CMP_737,Thermal,85.3 (°C),59.5,95.7,Unstable,2.4,No,No,No
RBT_112,Assembly,CMP_440,Camera,92% (visual fit),52.5,94.4,Stable,2.4,Yes,No,No
RBT_113,Assembly,CMP_574,LIDAR + Camera,98% (defect-free),77.7,91.7,Unstable,2.3,No,No,Yes
RBT_114,Assembly,CMP_540,Camera,1 (obstacle detected),41.3,97.5,Unstable,1.0,No,No,Yes
RBT_115,Painting,CMP_925,Camera,82.4 (°C),56.5,99.4,Unstable,2.4,Yes,No,Yes
RBT_116,Welding,CMP_984,Thermal,0 (clear path),72.9,90.8,Unstable,1.8,Yes,No,No
RBT_117,Assembly,CMP_491,Thermal,0 (no obstacle),75.3,90.7,Stable,2.0,Yes,Yes,No
RBT_118,Assembly,CMP_240,LIDAR + Camera,98% (defect-free),52.7,97.7,Stable,2.3,No,Yes,Yes
RBT_119,Welding,CMP_498,Camera,75.8 (°C),49.7,98.3,Unstable,2.6,Yes,Yes,Yes
RBT_120,Welding,CMP_747,LIDAR,0 (clear path),65.5,94.6,Unstable,1.1,No,Yes,Yes
RBT_121,Inspection,CMP_386,Camera,1 (obstacle detected),51.4,93.8,Stable,1.4,Yes,No,Yes
RBT_122,Inspection,CMP_461,LIDAR + Camera,1 (obstacle detected),64.6,95.0,Unstable,1.6,Yes,Yes,Yes
RBT_123,Welding,CMP_489,LIDAR,1 (obstacle detected),65.8,90.1,Unstable,2.6,No,No,Yes
RBT_124,Painting,CMP_270,Camera,0 (no obstacle),40.2,91.9,Stable,2.0,Yes,No,Yes
RBT_125,Welding,CMP_233,Thermal,1 (obstacle detected),57.5,90.1,Stable,2.3,No,Yes,No
RBT_126,Inspection,CMP_993,LIDAR,0 (clear path),42.8,91.5,Stable,2.1,Yes,Yes,Yes
RBT_127,Inspection,CMP_429,LIDAR + Camera,92% (visual fit),40.4,98.8,Stable,2.3,No,No,No
RBT_128,Welding,CMP_188,LIDAR,0 (clear path),43.9,92.0,Unstable,2.7,No,No,Yes
RBT_129,Painting,CMP_619,Thermal,85.3 (°C),68.2,91.0,Stable,1.1,No,Yes,Yes
RBT_130,Assembly,CMP_920,Thermal,0 (clear path),53.8,97.7,Stable,2.5,No,No,No
RBT_131,Assembly,CMP_717,Thermal,92% (visual fit),70.3,95.0,Stable,1.7,No,Yes,No
RBT_132,Welding,CMP_137,Thermal,0 (clear path),60.4,95.9,Unstable,1.3,No,No,Yes
RBT_133,Painting,CMP_241,LIDAR + Camera,1 (obstacle detected),53.3,96.2,Stable,1.8,Yes,No,Yes
RBT_134,Welding,CMP_617,Camera,92% (visual fit),47.4,97.0,Stable,1.3,No,Yes,Yes
RBT_135,Inspection,CMP_613,Thermal,1 (obstacle detected),54.4,95.1,Unstable,2.9,No,Yes,No
RBT_136,Painting,CMP_476,Thermal,1 (obstacle detected),57.5,96.6,Stable,2.1,Yes,Yes,Yes
RBT_137,Welding,CMP_583,Thermal,1 (obstacle detected),64.1,96.4,Unstable,2.6,No,Yes,No
RBT_138,Inspection,CMP_105,Camera,0 (no obstacle),61.7,99.7,Unstable,1.7,No,No,No
RBT_139,Assembly,CMP_684,Camera,98% (defect-free),70.0,90.0,Stable,1.2,Yes,No,No
RBT_140,Painting,CMP_941,LIDAR + Camera,85.3 (°C),75.0,94.8,Unstable,1.9,Yes,Yes,No
RBT_141,Welding,CMP_772,Thermal,0 (no obstacle),46.7,91.7,Stable,1.5,No,Yes,No
RBT_142,Assembly,CMP_359,Camera,0 (no obstacle),79.5,99.0,Stable,1.6,Yes,No,Yes
RBT_143,Inspection,CMP_782,Camera,85.3 (°C),54.9,92.5,Stable,1.5,Yes,No,No
RBT_144,Assembly,CMP_275,Camera,85.3 (°C),55.6,90.9,Unstable,2.2,Yes,Yes,No
RBT_145,Assembly,CMP_443,LIDAR,0 (no obstacle),75.7,95.4,Unstable,2.4,No,Yes,No
RBT_146,Welding,CMP_508,LIDAR,82.4 (°C),74.5,99.7,Stable,2.1,No,Yes,Yes
RBT_147,Inspection,CMP_277,Thermal,92% (visual fit),52.8,95.4,Stable,1.8,No,Yes,Yes
RBT_148,Assembly,CMP_207,LIDAR,85.3 (°C),48.4,94.2,Unstable,2.0,No,Yes,Yes
RBT_149,Assembly,CMP_461,Thermal,1 (obstacle detected),48.9,98.6,Stable,1.1,Yes,Yes,Yes
RBT_150,Inspection,CMP_351,Camera,92% (visual fit),53.8,91.1,Unstable,2.6,Yes,No,No
RBT_151,Painting,CMP_536,Thermal,75.8 (°C),77.2,99.3,Stable,1.3,Yes,No,Yes
RBT_152,Assembly,CMP_819,Camera,82.4 (°C),59.6,93.2,Unstable,1.2,Yes,No,Yes
RBT_153,Painting,CMP_724,LIDAR,85.3 (°C),48.4,91.9,Unstable,2.4,Yes,No,Yes
RBT_154,Inspection,CMP_830,LIDAR + Camera,75.8 (°C),58.5,94.4,Unstable,1.5,No,No,Yes
RBT_155,Painting,CMP_545,Camera,0 (no obstacle),46.6,94.0,Stable,1.3,Yes,Yes,No
RBT_156,Painting,CMP_403,LIDAR + Camera,75.8 (°C),56.5,96.7,Stable,1.4,Yes,No,No
RBT_157,Inspection,CMP_395,Thermal,92% (visual fit),55.6,93.6,Unstable,2.7,No,No,No
RBT_158,Welding,CMP_526,Camera,75.8 (°C),70.9,90.6,Unstable,1.7,No,Yes,No
RBT_159,Assembly,CMP_914,LIDAR + Camera,0 (no obstacle),60.3,98.9,Unstable,2.0,No,No,No
RBT_160,Welding,CMP_658,LIDAR,92% (visual fit),78.1,95.9,Stable,1.8,No,Yes,Yes
RBT_161,Welding,CMP_600,Camera,0 (no obstacle),51.3,90.2,Stable,2.1,Yes,Yes,Yes
RBT_162,Inspection,CMP_709,Camera,1 (obstacle detected),69.6,94.0,Unstable,2.8,Yes,No,Yes
RBT_163,Painting,CMP_816,LIDAR,98% (defect-free),77.2,90.4,Unstable,1.5,No,No,No
RBT_164,Welding,CMP_116,Thermal,1 (obstacle detected),54.3,97.2,Stable,1.6,No,No,No
